"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1903867888903299421","Mon Mar 24 02:27:17 +0000 2025","0","@deddysitorus Investor butuh kepastian hukum maka dr itu @PDI_Perjuangan jadilah partai yg pertama jadi inisiator pengesahan RUU perampasan aset.investor butuh TRUST bang.kl partai anda sebagai oposisi malah ikut mengesah kan UU TNI sm siapa lg masyarakat berharap.yg oposisi aja mendukung.","1903997014716936244","","deddysitorus","in","","0","0","0","https://x.com/sudarma_bagus/status/1903997014716936244","1466625993053917185","sudarma_bagus"
"1903997004713497023","Mon Mar 24 02:27:15 +0000 2025","0","terus naikin ht nya pls jangan kasih turun... #GagalkanUUTNI #CabutUUTNI #TolakUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #SupremasiSipil #TolakRUUPolri #TolakRUUKejaksaan","1903997004713497023","","","in","𝓡𝓲𝓬𝓴𝔂 heart","0","0","0","https://x.com/rickyluvez/status/1903997004713497023","1646879332588216320","rickyluvez"
"1903813928909689062","Mon Mar 24 02:27:00 +0000 2025","0","@NenkMonica ganti ht kita GUYS GANTI HT KALIAN dari RUU TNI ke UU TNI YAA‼️ SEMANGAT NAIKIN HT LAGII ALL #GagalkanUUTNI #CabutUUTNI #TolakUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #SupremasiSipil #TolakRUUPolri #TolakRUUKejaksaan","1903996944583926249","","NenkMonica","in","Lampung, Indonesia","0","0","0","https://x.com/Flowflourie/status/1903996944583926249","957113546323542016","Flowflourie"
"1903996867907887232","Mon Mar 24 02:26:42 +0000 2025","0"," Ini lucu banget please ","1903996867907887232","","","in","Kehidupan","0","0","0","https://x.com/megulfy/status/1903996867907887232","1448321535307968519","megulfy"
"1903996813784617462","Mon Mar 24 02:26:29 +0000 2025","1","UU TNI sudah habis ini pengesahan RUU POLRI. Jadi ya nanti lulusan SMA yang dipengangi bedil itu bisa lebih semena-mena lagi. Adapun wacana mengembalikan kesatuan bernama ABRI itu kembali jadi jagoan jalanan.","1903996813784617462","","","in","","0","0","0","https://x.com/RiantDaffa/status/1903996813784617462","302915454","RiantDaffa"
"1903872830288302335","Mon Mar 24 02:26:27 +0000 2025","0","@wordfangs serukan ht ini GUYS GANTI HT KALIAN dari RUU TNI ke UU TNI YAA‼️ SEMANGAT NAIKIN HT LAGII ALL #GagalkanUUTNI #CabutUUTNI #TolakUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #SupremasiSipil #TolakRUUPolri #TolakRUUKejaksaan","1903996804674502961","","wordfangs","in","Lampung, Indonesia","0","0","0","https://x.com/Flowflourie/status/1903996804674502961","957113546323542016","Flowflourie"
"1903996780045549604","Mon Mar 24 02:26:21 +0000 2025","0","Kontroversi Pengesahan RUU TNI | Editorial View https://t.co/ZDvP3za89J","1903996780045549604","","","in","Indonesia","1","0","0","https://x.com/CNNIDdaily/status/1903996780045549604","3306771829","CNNIDdaily"
"1903987026934046887","Mon Mar 24 02:26:20 +0000 2025","0","@Araghutama @imam_bepe Jebakan betmen bukan sih skrg habis²an kontra ruu tni...gongnya pengesahan ruu polri juga gak lama jedanya","1903996774546903289","","Araghutama","in","bekasi","0","1","0","https://x.com/0b3tt/status/1903996774546903289","313160023","0b3tt"
"1903996720822001895","Mon Mar 24 02:26:07 +0000 2025","0","Tuhkan kataku juga dia memang naksir wowok bukan dibayar","1903996720822001895","","","in","she/her","0","0","0","https://x.com/eunsangsenpai/status/1903996720822001895","1451115284643811334","eunsangsenpai"
"1903050576465891756","Mon Mar 24 02:25:48 +0000 2025","0","@niconico_jak @prillyyla yass ku akui ketipu brosur. dan emg sialan mereka. tolak dwifungsi abri dan cabut ruu tni. selamat beraktifitas dan tetap BERBAHAYA!","1903996642917048526","","niconico_jak","in","","0","0","0","https://x.com/shndsmu/status/1903996642917048526","1075276697237254144","shndsmu"
"1903984326985040034","Mon Mar 24 02:25:38 +0000 2025","0","@florabl00m Eysisiku baru aja ke-log out sendiri aman kok.","1903996598264414332","","florabl00m","in","Kehidupan","0","1","0","https://x.com/megulfy/status/1903996598264414332","1448321535307968519","megulfy"
"1903996538659205439","Mon Mar 24 02:25:24 +0000 2025","0","Ini kalo ada yg ngambek kira2 ruu tni bakal dicabut ga ya?","1903996538659205439","","","in","Sheetrock Hills","0","0","0","https://x.com/peabuttmomma/status/1903996538659205439","621515411","peabuttmomma"
"1903812219076509906","Mon Mar 24 02:25:04 +0000 2025","0","@umugosh ganti ht kalian GUYS GANTI HT KALIAN dari RUU TNI ke UU TNI YAA‼️ SEMANGAT NAIKIN HT LAGII ALL #GagalkanUUTNI #CabutUUTNI #TolakUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #SupremasiSipil #TolakRUUPolri #TolakRUUKejaksaan","1903996456475955596","","umugosh","in","Lampung, Indonesia","0","0","0","https://x.com/Flowflourie/status/1903996456475955596","957113546323542016","Flowflourie"
"1903462534860181690","Mon Mar 24 02:24:10 +0000 2025","0","@taeyongbestbooo @bebellaacc_ @astromenggs komenan lo jg template der derr lo reply di org org cuma ttg PKN PKN coba jelasinn gada gunanya jg lo kaya sipaling paham tp ga ngejelasin mksd lo gmn lagian lo sbnrny pro apa kontra sih sm RUU TNI ini?? wkwkwk https://t.co/mfQNvWEsiP","1903996231208288648","https://pbs.twimg.com/media/GmxaeoFakAAYk4l.jpg","girlfrmnowher3","in","","0","0","0","https://x.com/girlfrmnowher3/status/1903996231208288648","1697379534839185408","girlfrmnowher3"
